地區,地點,無障礙場地出入口,暢通易達升降機,暢通易達洗手間,暢通易達停車位,暢通易達服務櫃台,視像火警警報,適當的暢通易達標誌,觸覺引路帶,觸覺點字及觸覺平面圖,聆聽輔助系統,無障礙公用地方,無障礙通道,視像顯示板,舞台 - 可移動升降台,舞台 - 固定升降台,舞台 - 斜道
中西區,西區社區中心,*,,,,*,*,,*,*,,,,,,,
中西區,西營盤社區綜合大樓,*,*,*,*,*,*,*,*,*,,,*,,,*,*
中西區,堅尼地城社區綜合大樓,*,*,*,*,*,*,*,*,*,,,*,,,,
中西區,前西區裁判法院大樓,*,*,*,,,,,*,*,,,,,,,
東區,銅鑼灣社區中心,*,*,*,,*,*,*,*,*,*,*,*,,,,*
東區,興華社區會堂,*,,*,,*,*,*,*,*,,*,*,,,,
東區,漁灣社區會堂,*,,*,,*,*,*,*,*,,*,*,,,,
東區,愛秩序灣社區會堂,*,,*,,*,,*,*,*,*,,*,,,,*
東區,鰂魚涌社區會堂,*,,*,*,*,,*,*,*,*,,*,,,,*
東區,小西灣社區會堂,*,*,*,*,*,*,*,*,*,*,*,*,,,,*
東區,北角社區會堂,*,*,*,*,*,*,*,*,*,*,*,*,,,,*
南區,華貴社區中心,*,*,*,,*,*,*,*,*,,*,*,,,,*
南區,鴨脷洲社區會堂,*,,,,*,*,,*,,,*,*,,,,
南區,利東社區會堂,*,,*,,*,*,*,*,*,*,*,*,,,,
南區,海怡社區中心,*,*,*,,,*,*,*,*,,*,*,,,,
南區,赤柱社區會堂,*,*,*,,,*,,*,*,,*,*,,,,
灣仔,禮頓山社區會堂,*,,*,,*,*,*,*,*,,*,*,,,,*
灣仔,灣仔活動中心,,*,*,,*,*,*,*,,,*,*,,,,
九龍城,紅磡社區會堂,*,*,*,*,*,*,*,*,*,*,*,*,,,*,*
九龍城,啟德社區會堂,*,,*,*,*,*,*,*,*,*,*,*,,,*,*
觀塘,觀塘社區中心,*,,*,*,*,*,*,*,*,,*,*,*,,,*
觀塘,樂華社區中心,*,*,*,,*,*,,*,*,,*,*,*,,,
觀塘,順利社區中心,*,*,*,,*,*,*,*,*,,*,*,,,,
觀塘,藍田(東區)社區會堂,*,*,*,,*,,*,*,*,,*,*,,,,*
觀塘,藍田(西區)社區中心,*,,*,*,*,*,*,*,*,*,,,,,,
觀塘,茜草灣鄰里社區中心,*,*,*,*,*,*,*,*,*,,*,*,,,,
觀塘,啓業社區會堂,*,,*,,*,*,*,*,,,*,*,,,,
觀塘,油塘社區會堂,*,*,*,,*,*,*,*,*,*,*,*,,,*,*
觀塘,秀茂坪社區會堂,*,*,*,,*,*,*,*,*,*,*,*,,,,*
深水埗,長沙灣社區中心,*,*,*,*,,*,*,*,*,,*,*,*,*,,
深水埗,南昌社區中心,*,*,*,,*,*,*,*,*,,*,*,*,*,,
深水埗,大坑東社區中心,*,*,*,,*,*,*,*,*,,*,*,*,,,*
深水埗,麗閣社區會堂,*,,*,,*,*,*,*,*,,*,*,*,,*,
深水埗,白田社區會堂,*,*,*,,*,*,*,*,*,*,*,*,*,,*,*
深水埗,石硤尾社區會堂,*,,*,,*,*,*,*,*,,*,*,*,*,,
深水埗,荔枝角社區會堂,*,,*,,*,*,*,*,*,,*,*,*,,,*
深水埗,美孚社區會堂,*,*,*,*,*,*,*,*,*,,*,*,*,,,*
黃大仙,黃大仙社區中心,*,,*,,*,*,*,*,*,*,*,*,,,,
黃大仙,彩雲社區中心,*,*,*,,*,,*,*,*,,*,*,,,*,
黃大仙,竹園社區中心,*,*,*,,*,*,,*,*,,*,*,,,*,
黃大仙,鳳德社區中心,*,*,*,,*,,*,*,*,,*,*,,,,*
黃大仙,慈雲山社區會堂,*,*,*,*,*,*,*,*,*,,*,*,,*,*,
黃大仙,慈雲山(南區)社區中心,*,,*,*,*,*,*,*,*,*,*,*,,,,*
黃大仙,東頭社區中心,*,*,*,*,*,*,*,*,*,*,*,*,*,,,*
油尖旺,梁顯利油麻地社區中心,*,*,*,,*,*,*,*,*,*,*,*,,,*,
油尖旺,旺角社區會堂,*,*,*,,*,*,*,*,*,*,*,*,,,*,
離島,愉景灣社區會堂,*,,*,,*,*,*,*,,,,*,*,,,*
離島,東涌社區會堂,*,*,*,,*,*,*,*,*,,*,*,*,,,*
離島,東涌社區服務綜合大樓,*,*,*,,,*,,,,,,*,,,,
離島,南丫島北段公共圖書館及南丫島歷史文物室,,*,*,,,*,*,*,,,,*,,,,
葵青,長青社區中心,*,*,*,*,*,*,*,*,*,,*,*,,*,,
葵青,長發社區中心,*,*,*,,*,*,*,*,*,,*,*,,*,,
葵青,大窩口社區中心,*,,*,*,*,*,*,*,*,,*,*,,*,,
葵青,長亨社區會堂,*,,*,,*,*,*,*,*,,*,*,,*,,
葵青,葵芳社區會堂,*,,*,,*,*,*,*,*,,*,*,,*,,*
葵青,葵盛社區會堂,*,,*,*,*,*,*,*,*,*,*,*,,*,,
葵青,青衣邨社區會堂,*,,*,,*,*,*,*,*,,*,*,,*,,
葵青,荔景社區會堂,*,,*,,*,*,*,*,*,,*,*,,*,,*
葵青,石籬社區會堂,*,,*,,*,*,*,*,*,,*,*,,*,,
葵青,青嶼幹線訪客中心及觀景台,*,,,,,,,*,*,,*,*,,,,
北區,北區社區中心,*,*,*,*,*,*,*,*,,,*,*,,,,
北區,祥華社區會堂,*,,*,,,*,*,*,,,*,*,,,*,
北區,打鼓嶺社區會堂,*,,*,,*,*,*,*,,,*,*,,,,
北區,沙頭角社區會堂,*,,*,,*,*,*,*,,,*,*,,,,
北區,聯和墟社區會堂,*,,*,,*,*,*,*,*,,*,*,,,*,
北區,和興社區會堂,*,,*,*,*,*,*,*,*,*,*,*,,,,*
西貢,景林鄰里社區中心,*,,*,,*,*,*,*,*,*,*,*,,,,*
西貢,西貢賽馬會大會堂,*,,*,*,*,*,*,*,*,*,*,*,,,,
西貢,翠林社區會堂,*,,*,,*,*,*,*,*,*,*,*,,,,
西貢,健彩社區會堂,*,,*,,*,*,*,*,*,*,*,*,,,,*
西貢,尚德社區會堂,*,,*,,*,*,*,*,*,*,*,*,,,*,
西貢,康城社區會堂,*,,*,,*,*,*,*,*,*,*,*,,,*,*
西貢,坑口社區會堂,*,,*,,*,*,*,*,*,,*,*,,,,*
沙田,恆安社區中心,*,*,*,,*,*,*,*,*,*,*,*,,,,*
沙田,隆亨社區中心,*,*,*,,*,*,*,*,*,*,*,*,,,*,
沙田,顯徑鄰里社區中心,*,*,*,*,*,*,*,*,*,*,*,*,,,,*
沙田,秦石社區會堂,*,*,*,,*,*,*,*,*,*,*,*,,,*,
沙田,廣源社區會堂,*,,*,,*,*,*,*,*,*,*,*,,,*,
沙田,瀝源社區會堂,*,*,*,,*,*,*,*,*,*,*,*,,,*,
沙田,博康社區會堂,*,,*,,*,*,*,*,*,*,*,*,,,*,
沙田,沙角社區會堂,*,*,*,,*,,*,*,*,*,*,*,,,,
沙田,新田圍社區會堂,*,*,*,,*,*,*,*,*,*,*,*,,,*,
沙田,禾輋社區會堂,*,*,*,,*,*,*,*,*,*,*,*,,,*,
沙田,利安社區會堂 ,*,*,*,,*,*,*,*,*,*,*,*,,,,*
沙田,美田社區會堂 ,*,*,*,*,*,*,*,*,*,*,*,*,,,,*
沙田,圓洲角社區會堂 ,*,*,*,,*,*,*,*,*,*,*,*,,,,*
大埔,大埔社區中心 ,*,*,*,*,*,*,*,*,*,,*,*,,*,,
大埔,富亨鄰里社區中心,*,*,*,,*,*,*,*,*,*,*,*,,,,*
大埔,太和鄰里社區中心 ,*,*,*,,*,*,*,*,*,*,*,*,,,,*
大埔,運頭塘鄰里社區中心,*,*,*,,*,*,*,*,*,*,*,*,,,,*
大埔,富善社區會堂 ,*,,*,,*,*,*,*,*,*,*,*,,,,
大埔,廣福社區會堂 ,*,,*,,*,*,*,*,*,*,*,*,,,,
大埔,大元社區會堂 ,*,,*,,*,*,*,*,*,*,*,*,,,,
荃灣,雅麗珊社區中心,*,*,*,*,*,*,*,*,*,,*,*,,,,*
荃灣,梨木樹社區會堂 ,*,,*,,*,*,*,*,*,,*,*,,*,,
荃灣,石圍角社區會堂,*,,*,,*,*,*,*,*,,*,*,,,,
荃灣,機場核心計劃展覽中心,*,*,*,,*,*,*,*,*,,*,*,,,,
荃灣,西樓角花園多功能活動中心,*,,*,,*,*,*,*,*,*,*,*,,,,
屯門,安定 / 友愛社區中心,*,*,*,,*,*,*,*,*,,*,*,,,,
屯門,蝴蝶灣社區中心 ,*,*,*,,*,*,*,*,*,,*,*,,,,
屯門,良景社區中心,*,*,*,,,,*,*,*,,,,,,,
屯門,建生社區會堂,*,,*,,*,,*,*,*,,,,,,,
屯門,山景社區會堂 ,*,,*,,*,*,*,*,*,*,,,,*,,
屯門,大興社區會堂,*,,*,,,,,*,*,,,*,,,,
屯門,屯門市中心社區會堂,*,*,*,,*,*,*,*,*,,*,*,,,*,
屯門,井財街社區會堂,*,*,*,,*,*,*,*,*,,*,*,,,*,
屯門,湖山路社區會堂 ,*,*,*,*,*,*,*,*,*,,*,*,,,,
屯門,龍逸社區會堂,*,*,*,,*,,*,*,*,,*,*,,,,
屯門,兆麟社區會堂,*,*,*,*,*,*,*,*,*,,*,*,,,,*
元朗,天耀社區中心,*,*,*,,*,*,*,*,*,,*,*,,,,
元朗,天瑞社區中心,*,*,*,,*,*,*,*,*,,*,*,,,*,
元朗,朗屏社區會堂 ,*,,*,,*,*,*,*,,,*,*,,,*,
元朗,天晴社區會堂,*,,*,,*,*,*,*,*,*,*,*,,,,*
元朗,天暉路社區會堂,*,,*,*,*,*,*,*,*,*,*,*,,,,*
元朗,元朗市東社區會堂 ,*,,*,,*,*,*,*,*,*,*,*,,,,*
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
